,Date,AZR_N_T,AZR_T,AZTETCB_Data,CAR_N_T,CAR_T,CATETCB_Data,NMR_N_T,NMR_T,NMTETCB_Data,TXR_N_T,TXR_T,TXTETCB_Data
0,2025.0,0.399561187398227,0.03881811631932841,2467999.344916627,0.16105187761191786,0.09146712675386937,9999887.899184108,0.06255725102519816,0.06255725102519816,929167.7529313192,0.1674329843670601,0.028653612034216458,15579789.38928938
1,2050.0,0.5421124117212983,0.01764643095373941,4811760.807606131,0.18920836037909794,0.08892076607976662,12741658.055389166,0.16384640004702877,0.16384640004702877,1352551.1031623334,0.6524966871704887,0.058365795692195466,21552792.038155794
2,,"R_N_T    2.683862
dtype: float64","R_T    0.357694
dtype: float64","TETCB_Data    1.328779e+12
dtype: float64","R_N_T    10.745682
dtype: float64","R_T    0.43317
dtype: float64","TETCB_Data    1.944381e+15
dtype: float64","R_N_T    0.289121
dtype: float64","R_T    0.29088
dtype: float64","TETCB_Data    7.377877e+11
dtype: float64","R_N_T    0.231932
dtype: float64","R_T    0.253722
dtype: float64","TETCB_Data    6.209372e+13
dtype: float64"
